timestamp_utc,commit,subject,scale,n_customers,n_positions,total_ms,J01_ms,J07_ms,J11_ms,J12_ms,J13_ms,J14_ms,J14B_ms
2026-06-18T05:16:40Z,216fea7,"feat(db): holding/cash history theo INTERVAL (SCD-2) — full history, no-dup",medium,10000,1250000,20439,364,8369,90,31,115,955,10515
2026-06-18T05:17:27Z,216fea7,"feat(db): holding/cash history theo INTERVAL (SCD-2) — full history, no-dup",medium,10000,1250000,19856,317,7791,65,14,88,991,10590
2026-06-18T05:33:11Z,285e0e2,"docs: sua claim thoi gian J14b + log perf-history (bench medium)",small,1000,60000,1682,59,664,61,28,26,52,792
2026-06-18T06:21:16Z,54b600d,"feat(db): read API procs SP_GET_* (FR-01..06) + UDF_RANGE_CUTOFF",medium,10000,1250000,20359,405,8109,84,31,92,1000,10638
2026-06-18T06:50:45Z,d89ebae,"docs: dong nhat SI key = si_code (bo het si_id) trong toan bo docs",medium,10000,1250000,39785,916,7997,126,46,132,1112,29456
2026-06-18T07:06:13Z,d89ebae,"docs: dong nhat SI key = si_code (bo het si_id) trong toan bo docs",medium,10000,1250000,32022,613,7107,127,41,126,1089,22919
2026-06-18T12:55:17Z,93ca0eb,"rename(db): T_*_NAV_DAILY/T_SI_HOLDING_DAILY -> _BALANCE",medium,10000,1250000,47766,1413,17649,243,49,227,1460,26725
2026-06-18T13:12:51Z,e01760b,"refactor(db): chuan hoa DECIMAL theo loai",medium,10000,1250000,11398,NULL,8906,158,37,156,1879,NULL
2026-06-18T14:03:27Z,f31a69f,"feat(db): Kafka ingest per-KH (forward) — SP_INGEST_CUSTOMER + tai cau truc EOD",medium,10000,1250000,11190,NULL,8669,162,30,141,1899,NULL
2026-06-18T15:01:05Z,690cdc1,"refactor(db): tach 2 cap — MASTER (C_MASTER_CODE) vs SUB-ACCOUNT (C_SI_CODE)",medium,10000,1250000,8187,NULL,6072,143,38,109,1632,NULL
2026-06-18T18:00:22Z,95421e0,"refactor(db): audit timestamp DATETIME2/SYSUTCDATETIME → DATETIME/GETDATE (khớp codebase)",small,1000,60000,880,NULL,556,57,30,37,160,NULL
2026-06-19T14:19:34Z,ce52c44,"docs(eod): Track 1 — receivables→NAV + master flow/count + phí QL BO-driven (cố định, no toggle)",small,1000,60000,1034,NULL,693,84,20,27,160,NULL
2026-06-19T15:23:17Z,3276606,"docs(pm-tool): spec PM dashboard quản lý master (US1-5, SP serve, TE/deviation/cash-drag)",small,1000,60000,1119,NULL,773,50,16,36,184,NULL
2026-06-20T02:04:08Z,85bfe21,"perf(pm-tool): fix US3 composite OUTER APPLY→equi-join + P5 bench scale thật",small,1000,60000,1150,NULL,713,67,20,27,187,NULL
2026-06-20T02:04:59Z,85bfe21,"perf(pm-tool): fix US3 composite OUTER APPLY→equi-join + P5 bench scale thật",medium,10000,1250000,10476,NULL,7640,124,17,130,1693,NULL
